K,Variance,PSNR
15,1.0,315.78144035678383
20,1.0,315.6176356046104
25,1.0,315.45978524383054
5,0.9306425645075482,22.955845983878305
10,0.9976277174380864,37.615112085442306
15,0.9999868476695793,60.176749140750715
20,1.0,309.5024916856805
25,1.0,309.4587777645267
5,0.9999999999999999,326.48935311038804
10,0.9999999999999999,325.36980875068645
15,0.9999999999999999,324.48051958804604
20,0.9999999999999999,323.74274109703936
25,0.9999999999999999,323.1122846829169
5,0.9303385848554727,23.81619129458518
10,0.9966510823172176,36.997069495874555
15,0.9999990896936399,72.65423845204265
20,0.9999999999999999,312.3471655743136
25,0.9999999999999999,312.2676982825398
5,0.9961709455632797,39.342280622835034
10,1.0,317.3143947392759
15,1.0,317.19942358199785
20,1.0,317.08741773401783
25,1.0,316.9782280722924
5,0.9681488447896309,27.38685599176021
10,0.9988563864451971,41.83531493332304
15,0.9999999999999997,311.9675438312592
20,0.9999999999999997,311.90909818680575
25,0.9999999999999997,311.8514286478985
5,0.9591486024164232,25.278651515835246
10,0.9974148235207084,37.26581874601512
15,1.0000000000000002,312.32211926464964
20,1.0000000000000002,312.2199631602508
25,1.0000000000000002,312.1201548830825
5,0.9643227036756815,25.470397323243652
10,0.9974029923508042,36.84958439031908
15,0.9999879411184377,60.18124638129561
20,0.9999999999999998,311.5011698284291
25,0.9999999999999998,311.41302305857204
5,0.9305721137833088,22.23224764590078
10,0.9949035885975731,33.57494228925768
15,0.9998140463260131,47.95353944261972
20,0.9999999999999999,310.58741651758925
25,0.9999999999999999,310.501402011556
5,0.9650297056998549,26.317265041484752
10,0.9995262803016715,44.99904347330106
15,1.0,310.0187027570961
20,1.0,309.9536068542069
25,1.0,309.89063573198285
5,0.9301174742907918,23.331279182442902
10,0.9964970323756107,36.330603877631226
15,1.0000000000000002,305.9667369283429
20,1.0000000000000002,305.945461585044
25,1.0000000000000002,305.9242899581278
5,0.9571120599105934,22.889655494394848
10,0.9940913266073705,31.49810752371685
15,0.9997345544883116,44.973253505582036
20,1.0000000000000004,294.50164293710344
25,1.0000000000000004,294.497926752666
5,0.9998132125814221,54.02555557743605
10,0.9999999999999999,324.29232561785363
15,0.9999999999999999,323.60397399339
20,0.9999999999999999,323.0099454170807
25,0.9999999999999999,322.4874780453109
5,0.9632539708123479,26.265342246740584
10,0.9981892207428391,39.33879129416032
15,1.0,310.6504524015294
20,1.0,310.606803368261
25,1.0,310.56358867058185
5,0.9456428621982889,21.916915496136884
10,0.9941160463625064,31.57278888261461
15,0.9997006460037966,44.50763070213544
20,0.9999999999999998,306.1926084433139
25,0.9999999999999998,306.1511397730754
5,0.8961932812536859,21.720021853225187
10,0.9924039576644207,33.07640272297414
15,0.9997138468407099,47.31629103730402
20,1.0000000000000002,307.93685353032834
25,1.0000000000000002,307.9050547752792
5,0.9621479352482514,25.991625257063355
10,0.9987549270564166,40.820573043903146
15,1.0,312.2132010698032
20,1.0,312.1062307220707
25,1.0,312.0018319304009
5,0.9609354924301381,23.589088810110205
10,0.9940421235123421,31.75599739522113
15,0.9998345776799458,47.320971276356694
20,1.0,299.5397034375587
25,1.0,299.53713642482336
5,0.9315879957940735,23.314042713305025
10,0.994538771389105,34.2924622829195
15,0.999917232684778,52.48677717152481
20,0.9999999999999998,309.1754685551872
25,0.9999999999999998,309.15002014434384
5,0.9460274091821158,21.996883447544434
10,0.9946027894170794,31.996922472695758
15,0.9994953690187096,42.28887700474768
20,1.0,304.02122103957123
25,1.0,304.0011070589822
5,0.9686958236929908,24.570025771567416
10,0.9965819226391447,34.18822970208226
15,0.9998577019439826,47.99405890950603
20,0.9999999999999999,304.938246686524
25,0.9999999999999999,304.90480180332634
5,0.9393924940963313,21.128529842235963
10,0.9931124605724365,30.573152987091106
15,0.9996152065015447,43.10151671179852
20,1.0000000000000002,296.58423807064366
25,1.0000000000000002,296.5797145602962
5,0.9728302967461057,27.196661246706768
10,0.9964188187268433,35.99724714974107
15,0.9999999999999999,311.63311206162814
20,0.9999999999999999,311.55397256518876
25,0.9999999999999999,311.48023647972724
5,0.9243104564484227,22.284652713602313
10,0.9923460899157847,32.23617801617128
15,0.9995335524348745,44.386983271938234
20,1.0,312.14865878050983
25,1.0,312.05220282020986
5,0.998487138352816,44.490395080293084
10,1.0,317.07282887777296
15,1.0,316.9948236601902
20,1.0,316.9181948372251
25,1.0,316.8428946771788
5,0.9475712952687365,24.528855061588253
10,0.9951938671809311,34.9065886610897
15,0.9999996044084004,75.75207573879901
20,1.0,308.758839700174
25,1.0,308.7221032653078
5,0.9703201651030358,26.526328160838307
10,0.9982320197258667,38.77616881648371
15,1.0,310.8284603022414
20,1.0,310.75742237210784
25,1.0,310.6875277397006
5,0.8793777179503874,20.525066944473352
10,0.9847938235382308,29.519142090665774
15,0.9989778170806154,41.24405615420251
